变体文件,硬件木马说明,木马程序分类
AES-T100,"该木马程序通过隐蔽信道，从运行高级加密标准（AES）算法的加密芯片中泄露密钥。
该信道借鉴了扩频通信（也称为码分多址接入（CDMA））的概念，将单个比特的泄露分散到多个时钟周期中。
木马程序采用这种方法时，会使用伪随机数生成器（PRNG）生成一个CDMA码序列，且该伪随机数生成器初始化为一个预定义值。
然后，该码序列用于对密钥信息比特进行异或（XOR）调制。调制后的序列被转发到泄漏电路（LC），以便在电源侧信道中建立一个隐蔽的CDMA信道。
LC通过将八个相同的触发器元件连接到异或门的单个输出端来实现，以模拟大电容[1]。","插入阶段：设计阶段
抽象级别：寄存器传输级
激活机制：始终开启
影响：泄露信息
位置：处理器
物理特性：功能性"
AES-T200,"该木马程序通过隐蔽信道，从运行高级加密标准（AES）算法的加密芯片中泄露密钥。
该信道借鉴了扩频通信（也称为码分多址接入（CDMA））的概念，将单个比特的泄露分散到多个时钟周期中。
木马程序采用这种方法时，会使用伪随机数生成器（PRNG）生成一个CDMA码序列，且该伪随机数生成器以输入的明文作为初始值。
随后，该码序列用于对密钥信息比特进行异或（XOR）调制。调制后的序列被转发至泄漏电路（LC），以便在电源侧信道中建立一个隐蔽的CDMA信道。
LC通过将八个相同的触发器元件连接到异或门的单个输出端来实现，以模拟大电容[1]。","插入阶段：设计阶段
抽象级别：寄存器传输级
激活机制：始终开启
影响：泄露信息
位置：处理器
物理特性：功能性"
AES-T300,"该木马程序展示了一种针对AES-128分组密码及其相应密钥编排算法的攻击。
其思路是在密钥编排算法中人为引入依赖已知输入比特和密钥比特的泄露中间状态，而这些状态在密码的正常处理过程中自然不会出现。
木马程序使用与（AND）运算将每个密钥比特与另一个输入比特两两组合。然后，将与门的输出通过异或（XOR）运算全部组合起来，得到泄露的中间值。
在密钥编排算法的每一轮中，该木马程序都会泄露一个字节的AES轮密钥。泄露电路（LC）是一个16位移位寄存器，并为其加载了初始的零一交替序列。
只有当泄露电路的输入为1时，移位寄存器才会被启用，这会导致额外的动态功耗[1]。","插入阶段：设计阶段
抽象级别：寄存器传输级
激活机制：始终开启
影响：泄露信息
位置：处理器
物理特性：功能性"
AES-T400,"对芯片上的一个（未使用的）引脚进行调制可产生射频（RF）信号。该信号可用于传输密钥比特。
这种攻击在1560千赫兹（KHz）的频率下进行，可用普通调幅（AM）收音机接收。调幅信号所携带的数据需便于人类解读。采用了一种蜂鸣方案，即单个蜂鸣声后接一段停顿表示“0”，两个连续蜂鸣声后接一段停顿表示“1”。关于调幅传输的详细实现描述，可参见文献[1]。在此实现中，当观察到预定义的输入明文时，木马程序会被激活。","插入阶段：设计阶段
抽象级别：寄存器传输级
激活机制：内部条件触发
影响：泄露信息
位置：处理器
物理特性：功能性"
AES-T500,"在诸如医用植入设备等轻型应用的核心，是为其供电的电池，设备的成功在很大程度上取决于这些电池。
此木马程序一旦被激活，便会耗尽电池电量。该木马程序在观察到特定的输入明文序列后会被激活。
木马的有效载荷是一个移位寄存器，在木马激活后会持续循环移位。木马程序会增加功耗，从而缩短电池的预期使用寿命。","插入阶段：设计阶段
抽象级别：寄存器传输级
激活机制：内部条件触发
影响：泄露信息（造成功耗异常/影响设备续航 ）
位置：处理器
物理特性：功能性"
AES-T600,"在检测到特定的输入明文后，该木马程序会通过泄漏电流泄露AES-128的密钥。
泄漏电路（LC）由一个存储密钥的移位寄存器和两个反相器组成。移位寄存器的最低有效位连接到一个反相器，该反相器的输出又连接到另一个反相器的输入。
每当最低有效位为“0”时，由第一个反相器的PMOS晶体管和第二个反相器的NMOS晶体管构成的一条电源与地之间的直流通路会在有限时间内导通。
因此，通过测量泄漏电流即可获取密钥。","插入阶段：设计阶段
抽象级别：寄存器传输级
激活机制：内部条件触发
影响：泄露信息
位置：处理器
物理特性：功能性"
AES-T700,"每当检测到预定义的输入明文时，该木马程序便会通过隐蔽信道，从运行高级加密标准（AES）算法的加密芯片中泄露密钥。
该信道借鉴了扩频通信（也称为码分多址接入，CDMA）的概念，将单个比特的泄露分散到多个时钟周期中。
木马程序采用这种方法时，会使用伪随机数生成器（PRNG）生成一个CDMA码序列，且该伪随机数生成器被初始化为一个预定义值。
随后，该码序列用于对密钥信息比特进行异或（XOR）调制。调制后的序列被转发至泄漏电路（LC），以便在电源侧信道中建立一个隐蔽的CDMA信道。
LC通过将八个相同的触发器元件连接到异或门的单个输出端来实现，以模拟大电容[1]。","插入阶段：设计阶段
抽象级别：寄存器传输级
激活机制：内部触发
影响：泄露信息
位置：处理器
物理特性：功能性"
AES-T800,"一旦检测到预定义的输入明文序列，该木马程序便会通过隐蔽信道，从运行高级加密标准（AES）算法的加密芯片中泄露密钥。
该信道借鉴了扩频通信（也称为码分多址接入，CDMA）的概念，将单个比特的泄露分散到多个时钟周期中。
木马程序采用这种方法时，会利用伪随机数生成器（PRNG）生成一个CDMA码序列，且该伪随机数生成器被初始化为一个预定义值。
随后，该码序列用于对密钥信息比特进行异或（XOR）调制。调制后的序列被转发至泄漏电路（LC），以便在电源侧信道中建立一个隐蔽的CDMA信道。
LC通过将八个相同的触发器元件连接到异或门的单个输出端来实现，以模拟大电容[1]。","插入阶段：设计阶段
抽象级别：寄存器传输级
激活机制：内部触发
影响：信息泄露
位置：处理器
物理特性：功能性"
AES-T900,"在每完成128个十六进制数“FFFF_FFFF_FFFF_FFFF_FFFF_FFFF_FFFF_FFFF”的加密操作后，该木马程序会被激活，并通过隐蔽信道从运行高级加密标准（AES）算法的加密芯片中泄露密钥。
该信道借鉴了扩频通信（也称为码分多址接入，CDMA）的概念，将单个比特的泄露分散到多个时钟周期中。
木马程序采用此方法时，会利用伪随机数生成器（PRNG）生成一个CDMA码序列，且该伪随机数生成器被初始化为一个预定义值。
随后，该码序列用于对密钥信息比特进行异或（XOR）调制。调制后的序列被转发至泄漏电路（LC），以便在电源侧信道中建立一个隐蔽的CDMA信道。
LC通过将八个相同的触发器元件连接到异或门的单个输出端来实现，以模拟大电容[1]。","插入阶段：设计阶段
抽象级别：寄存器传输级
激活机制：内部触发
影响：信息泄露
位置：处理器
物理特性：功能性"
AES-T1000,"每当检测到预定义的输入明文时，该木马程序便会通过隐蔽信道，从运行高级加密标准（AES）算法的加密芯片中泄露密钥。
该信道借鉴了扩频通信（也称为码分多址接入，CDMA）的概念，将单个比特的泄露分散到多个时钟周期中。
木马程序采用此方法时，会利用伪随机数生成器（PRNG）生成一个CDMA码序列，且该伪随机数生成器以输入明文进行初始化。
随后，该码序列用于对密钥信息比特进行异或（XOR）调制。调制后的序列被转发至泄漏电路（LC），以便在电源侧信道中建立一个隐蔽的CDMA信道。
LC通过将八个相同的触发器元件连接到异或门的单个输出端来实现，以模拟大电容[1]。","插入阶段：设计阶段
抽象级别：寄存器传输级
激活机制：内部触发
影响：信息泄露
位置：处理器
物理特性：功能性"
AES-T1100,"一旦检测到预定义的输入明文序列，该木马程序便会通过隐蔽信道，从运行高级加密标准（AES）算法的加密芯片中窃取密钥。
该信道借鉴了扩频通信（也称为码分多址接入，CDMA）的理念，将单个比特的泄露信息分散到多个时钟周期中。
木马程序采用此方法时，会利用伪随机数生成器（PRNG）生成一个CDMA码序列，且该伪随机数生成器以输入明文作为初始化值。
随后，该码序列用于对密钥信息比特进行异或（XOR）调制。调制后的序列被传输至泄漏电路（LC），以便在电源侧信道中建立一个隐蔽的CDMA信道。
LC通过将八个相同的触发器元件连接到异或门的单一输出端来实现，以模拟大电容的效果[1]。","插入阶段：设计阶段
抽象级别：寄存器传输级
激活机制：内部触发
影响：信息泄露
位置：处理器
物理特性：功能性"
AES-T1200,"每当完成128个十六进制值“FFFF_FFFF_FFFF_FFFF_FFFF_FFFF_FFFF_FFFF”的加密操作后，该木马程序即被激活，并通过隐蔽信道从运行高级加密标准（AES）算法的加密芯片中窃取密钥。
该信道借鉴了扩频通信（也称为码分多址接入，CDMA）的原理，将单个比特的泄露信息分散到多个时钟周期中。
木马程序采用此方法时，会利用伪随机数生成器（PRNG）生成一个CDMA码序列，且该伪随机数生成器以输入明文作为初始化值。
随后，该码序列用于对密钥信息比特进行异或（XOR）调制。调制后的序列被传输至泄漏电路（LC），以便在电源侧信道中建立一个隐蔽的CDMA信道。
LC通过将八个相同的触发器元件连接到异或门的单一输出端来实现，以模拟大电容的效果[1]。","插入阶段：设计阶段
抽象级别：寄存器传输级
激活机制：内部触发
影响：信息泄露
位置：处理器
物理特性：功能性"
AES-T1300,"每当检测到预定义的输入明文时，该木马程序便会对AES-128分组密码及其对应的密钥编排算法发起攻击。
其思路是在密钥编排过程中人为引入依赖于已知输入比特和密钥比特的中间状态泄露，而这些状态在密码的正常处理过程中本不会自然出现。
木马程序利用与（AND）运算，将每个密钥比特与另一个输入比特逐一组合。然后，将所有与门的输出通过异或（XOR）运算组合成泄露的中间值。
该木马程序在密钥编排的每一轮中，都会泄露一个字节的AES轮密钥。泄露电路（LC）是一个16位移位寄存器，并加载了由0和1交替组成的初始序列。
仅当泄露电路的输入为1时，移位寄存器才会被激活，这会导致额外的动态功耗消耗[1]。","插入阶段：设计阶段
抽象级别：寄存器传输级
激活机制：内部触发
影响：信息泄露
位置：处理器
物理特性：功能性"
AES-T1400,"一旦检测到预定义的输入明文序列，该木马程序便会针对AES-128分组密码及其对应的密钥编排算法发起攻击。
其核心思路是，在密钥编排过程中人为制造中间状态泄露，这些泄露状态依赖于已知的输入比特和密钥比特，但在密码的正常处理过程中本不会自然出现。
木马程序利用与（AND）逻辑运算，将每个密钥比特与另一个输入比特逐一配对组合。
随后，将所有与门的输出通过异或（XOR）运算合并，得出泄露的中间值。
在密钥编排的每一轮中，该木马程序会泄露一个字节的AES轮密钥。泄露电路（LC）是一个16位移位寄存器，并预先加载了由0和1交替组成的初始序列。
只有当泄露电路的输入为1时，移位寄存器才会被激活，这会导致额外的动态功耗[1]。","插入阶段：设计阶段
抽象级别：寄存器传输级
激活机制：内部触发
影响：信息泄露
位置：处理器
物理特性：功能性"
AES-T1500,"在每完成128个十六进制值“FFFF_FFFF_FFFF_FFFF_FFFF_FFFF_FFFF_FFFF”的加密操作后，该木马程序便会对AES-128分组密码及其对应的密钥编排算法发起攻击。
其核心策略是，在密钥编排过程中人为制造中间状态泄露，这些泄露状态依赖于已知的输入比特和密钥比特，但在密码的正常处理流程中本不会自然出现。
木马程序采用与（AND）逻辑运算，将每个密钥比特与另一个输入比特逐一配对组合。随后，将所有与门的输出通过异或（XOR）运算合并，得到泄露的中间值。
在密钥编排的每一轮中，该木马程序会泄露一个字节的AES轮密钥。泄露电路（LC）是一个16位移位寄存器，并预先加载了由0和1交替组成的初始序列。
只有当泄露电路的输入为1时，移位寄存器才会被激活，这会导致额外的动态功耗消耗[1]。","插入阶段：设计阶段
抽象级别：寄存器传输级
激活机制：内部触发
影响：信息泄露
位置：处理器
物理特性：功能性"
AES-T1600,"通过对芯片上的一个（未使用的）引脚进行调制，可生成射频（RF）信号。该信号可用于传输密钥比特。
此攻击在1560千赫兹（KHz）的频率下进行，使用普通的调幅（AM）收音机即可接收。调幅信号所携带的数据需便于人类解读。
采用了一种蜂鸣方案，即单次蜂鸣后接一段停顿表示“0”，两次蜂鸣后接一段停顿表示“1”。关于调幅传输的详细实现方法，可参考[1]。
在此实现中，当检测到预定义的输入明文序列时，木马程序即被激活。","插入阶段：设计阶段
抽象级别：寄存器传输级
激活机制：内部条件触发
影响：信息泄露
位置：处理器
物理特性：功能性"
AES-T1700,"通过对芯片上的一个（未使用的）引脚进行调制，可生成射频（RF）信号。该信号可用于传输密钥比特。
此攻击在1560千赫（KHz）的频率下实施，使用普通的调幅（AM）收音机即可接收。调幅信号所承载的数据需便于人类解读。
采用了一种蜂鸣编码方案，即单次蜂鸣后接一段停顿表示“0”，两次蜂鸣后接一段停顿表示“1”。关于调幅传输的详细实现说明，可查阅[1]。
在此实现中，木马程序在每完成128个十六进制值“FFFF_FFFF_FFFF_FFFF_FFFF_FFFF_FFFF_FFFF”的加密操作后被激活。","插入阶段：设计阶段
抽象级别：寄存器传输级
激活机制：内部条件触发
影响：信息泄露
位置：处理器
物理特性：功能性"
AES-T1800,"在诸如医用植入设备等轻型应用中，为其供电的电池是核心部件，设备的成功运行在很大程度上依赖于这些电池。
此木马程序一旦被激活，便会耗尽电池电量。该木马程序在检测到预定义的输入明文后被激活。
其有效载荷是一个移位寄存器，在木马程序激活后会持续循环运转。木马程序会增加功耗，从而缩短电池的预期使用寿命。","插入阶段：设计阶段
抽象级别：寄存器传输级
激活机制：内部条件触发
影响：信息泄露（缩短电池寿命）
位置：处理器
物理特性：功能性"
AES-T1900,"在诸如医用植入设备等轻型应用中，为其供电的电池是核心部件，设备的成功运行在很大程度上依赖于这些电池。
该木马程序一旦被激活，便会耗尽电池电量。在完成128个十六进制值“FFFF_FFFF_FFFF_FFFF_FFFF_FFFF_FFFF_FFFF”的加密操作后，木马程序将被激活。
其有效载荷是一个移位寄存器，在木马程序激活后会持续循环运转。木马程序会增加功耗，从而缩短电池的预期使用寿命。","插入阶段：设计阶段
抽象级别：寄存器传输级
激活机制：内部条件触发
影响：拒绝服务（通过耗尽电池电量使设备无法正常工作，属于拒绝服务攻击的一种形式 ）
位置：处理器
物理特性：功能性"
AES-T2000,"在检测到特定的输入明文序列后，该木马程序通过泄漏电流泄露AES-128的密钥。
泄漏电路（LC）由一个存储密钥的移位寄存器和两个反相器组成。移位寄存器的最低有效位连接到其中一个反相器，该反相器的输出又连接到另一个反相器的输入。
每当最低有效位为“0”时，由第一个反相器的PMOS晶体管和第二个反相器的NMOS晶体管构成的电源与地之间的直接通路会在有限时间内导通。
因此，通过测量泄漏电流即可获取密钥。","插入阶段：设计阶段
抽象级别：寄存器传输级
激活机制：内部条件触发
影响：信息泄露
位置：处理器
物理特性：功能性"
AES-T2100,"在完成特定次数的加密操作后，该木马程序会通过泄漏电流泄露AES-128的密钥。
泄漏电路（LC）由一个存储密钥的移位寄存器和两个反相器构成。移位寄存器的最低有效位连接至其中一个反相器，该反相器的输出再连接至另一个反相器的输入。
每当最低有效位为“0”时，由第一个反相器的PMOS晶体管和第二个反相器的NMOS晶体管组成的电源与地之间的直接通路会在有限时间内导通。
因此，通过测量泄漏电流即可获取密钥。","插入阶段：设计阶段
抽象级别：寄存器传输级
激活机制：内部条件触发
影响：信息泄露
位置：处理器
物理特性：功能性"
AES-T2300,"在AES-128分组密码中，当两个预定义的罕见信号（aes_128模块的s2[89]和s5[121]）同时为高电平时，该木马程序即被触发。
一旦激活，木马程序会通过翻转现有加密输出结果的最低有效位来对加密过程发起攻击。","插入阶段：设计阶段
抽象级别：寄存器传输级
激活机制：基于物理条件触发
影响：改变功能
物理特性：功能性"
AES-T2400,"在AES-128分组密码中，只要两个预定义信号（一个为罕见信号：aes_128模块的s2[89]；一个为非罕见信号：aes_128模块的s7[127]）同时处于高电平状态，该木马程序就会被触发。
一旦激活，木马程序会通过翻转现有加密输出结果的最低有效位来对加密过程实施攻击。","插入阶段：设计阶段
抽象级别：寄存器传输级
激活机制：基于物理条件触发
影响：改变功能
物理特性：功能性"
AES-T2500,"该木马程序的触发器是一个嵌入在AES-128分组密码中的4位同步计数器。每次连续完成一次加密操作后，计数器数值增加1；当计数器的第4位为高电平时，木马程序被激活。
一旦触发，木马程序会通过翻转现有加密输出结果的最低有效位来对加密过程发起攻击。","插入阶段：设计阶段
抽象级别：寄存器传输级
激活机制：基于时间触发
影响：改变功能
物理特性：功能性"
AES-T2600,"该木马程序的触发器是一个嵌入在AES-128分组密码中的4位异步计数器。
若aes_128模块内预定义信号s3[122]的值为1，则每次连续完成一次加密操作后，计数器数值增加1。当计数器的第4位为高电平时，木马程序被激活。
一旦触发，木马程序会通过翻转现有加密输出结果的最低有效位来破坏加密过程。","插入阶段：设计阶段
抽象级别：寄存器传输级
激活机制：基于物理条件与时间双重触发
影响：改变功能
物理特性：功能性"
AES-T2700,"该木马程序的触发机制依赖于一个4位异步计数器，而该异步计数器又受制于一个4位同步计数器（两者均嵌入在AES-128分组密码中）。
每次连续完成一次加密操作后，同步计数器数值增加1。只有当同步计数器的第4位为高电平时，异步计数器才会随之递增。
当异步计数器的第4位为高电平时，木马程序被激活。
一旦触发，木马程序会通过翻转现有加密输出结果的最低有效位来破坏加密过程。","插入阶段：设计阶段
抽象级别：寄存器传输级
激活机制：基于物理条件与时间双重触发
影响：改变功能
物理特性：功能性"
AES-T2800,"该木马程序的触发机制依赖于一个4位异步计数器，而该异步计数器又受一个4位同步计数器控制（两者均嵌入在AES-128分组密码中）。
每次连续完成一次加密后，同步计数器数值增加1。
仅当满足以下条件时，异步计数器才会递增：
1、同步计数器的第4位为高电平；
2、aes_128模块内的两个预定义信号（s5[113]和s7[127]）均处于激活状态。
当异步计数器的第4位为高电平时，木马程序被激活。一旦触发，木马程序会通过翻转现有加密输出结果的最低有效位来破坏加密过程。","插入阶段：设计阶段
抽象级别：寄存器传输级
激活机制：基于物理条件与时间双重触发
影响：改变功能
物理特性：功能性"
